iter	Passed	Remaining
491	855	535
492	857	533
493	858	532
494	860	530
495	862	528
496	863	526
497	865	524
498	867	523
499	869	521
500	871	520
501	873	518
502	875	516
503	877	515
504	878	513
505	880	511
506	882	509
507	884	508
508	886	506
509	887	504
510	889	503
511	890	501
512	893	499
513	894	497
514	896	496
515	898	494
516	900	492
517	902	491
518	903	489
519	905	487
520	906	485
521	908	483
522	910	482
523	912	480
524	914	478
525	916	477
526	917	475
527	919	473
528	921	472
529	923	470
530	925	468
531	927	467
532	928	465
533	930	463
534	931	461
535	933	459
536	934	457
537	936	455
538	938	454
539	939	452
540	941	450
541	943	449
542	944	447
543	946	445
544	948	443
545	950	442
546	952	440
547	954	438
548	955	436
549	957	435
550	959	433
551	961	431
552	962	430
553	964	428
554	966	426
555	968	425
556	970	423
557	972	421
558	974	420
559	975	418
560	977	416
561	979	414
562	981	413
563	982	411
564	984	409
565	986	407
566	988	406
567	989	404
568	991	402
569	993	400
570	994	398
571	996	397
572	997	395
573	999	393
574	1001	391
575	1002	389
576	1004	388
577	1006	386
578	1007	384
579	1009	382
580	1010	380
581	1012	379
582	1013	377
583	1015	375
584	1017	373
585	1018	372
586	1020	370
587	1022	368
588	1024	366
589	1025	365
590	1027	363
591	1029	361
592	1030	359
593	1032	358
594	1034	356
595	1036	354
596	1037	352
597	1039	351
598	1041	349
599	1043	347
600	1045	346
601	1046	344
602	1048	342
603	1050	340
604	1051	339
605	1053	337
606	1055	335
607	1056	333
608	1058	332
609	1060	330
610	1062	328
611	1064	326
612	1065	325
613	1067	323
614	1069	321
615	1070	319
616	1072	318
617	1074	316
618	1076	314
619	1078	313
620	1080	311
621	1082	309
622	1084	308
623	1086	306
624	1088	304
625	1089	302
626	1091	301
627	1093	299
628	1095	297
629	1097	296
630	1098	294
631	1100	292
632	1102	290
633	1104	289
634	1106	287
635	1108	285
636	1109	283
637	1111	282
638	1113	280
639	1114	278
640	1116	277
641	1118	275
642	1120	273
643	1122	271
644	1124	270
645	1125	268
646	1127	266
647	1129	264
648	1131	263
649	1133	261
650	1135	259
651	1137	258
652	1139	256
653	1141	254
654	1142	252
655	1144	251
656	1146	249
657	1149	247
658	1151	246
659	1153	244
660	1155	242
661	1157	241
662	1158	239
663	1160	237
664	1162	236
665	1164	234
666	1167	232
667	1169	231
668	1170	229
669	1172	227
670	1174	225
671	1176	224
672	1177	222
673	1179	220
674	1181	218
675	1183	217
676	1185	215
677	1186	213
678	1189	211
679	1190	210
680	1192	208
681	1193	206
682	1196	204
683	1197	203
684	1199	201
685	1201	199
686	1203	197
687	1204	196
688	1206	194
689	1207	192
690	1209	190
691	1211	189
692	1213	187
693	1215	185
694	1216	183
695	1218	182
696	1220	180
697	1222	178
698	1223	176
699	1225	175
700	1226	173
701	1228	171
702	1230	169
703	1232	168
704	1234	166
705	1235	164
706	1237	162
707	1239	161
708	1241	159
709	1242	157
710	1245	155
711	1246	154
712	1248	152
713	1250	150
714	1252	148
715	1254	147
716	1256	145
717	1258	143
718	1260	141
719	1261	140
720	1263	138
721	1265	136
722	1267	135
723	1269	133
724	1270	131
725	1272	129
726	1274	127
